session,time,GPS Longitude,GPS Latitude,GPS Bearing,Absolute throttle position B,Throttle position,Fuel Rail Pressure,MAF(air flow),Catalyst Temp - Bank 1  Sensor 1,Catalyst Temp - Bank 2  Sensor 1,STFT - Bank1,STFT - Bank2,LTFT - Bank1,LTFT - Bank2,Air Fuel Ratio (alt),Air Fuel Ratio,Coolant,Engine Load,Absolute load value,O2 S1 Equiv. Ratio and/or Current,O2 Sensor 1x2,O2 Sensor 2x2,Relative throttle position,RPM,Timing advance,GPS Speed
1604856710642,1604856833491,9.259012858134266,48.76140075317417,243.25557,15.686275,15.686275,5470.0,17.37,538.7,548.5,1.5625,4.6875,-7.8125,-4.6875,9.0,8.881073,37.0,44.313725,33.72549,0.9867859,0.41,0.41,6.666667,1370.0,25.5,
1604856710642,1604856834485,9.258863085851575,48.761387085031366,242.3658,15.686275,16.078432,5180.0,17.37,547.7,558.1,1.5625,3.125,-7.8125,-4.6875,9.0,9.443848,37.0,30.980392,25.490196,1.0493164,0.41,0.415,6.666667,1481.0,37.5,
1604856710642,1604856835485,9.258704321102988,48.76131987986508,241.80219,15.686275,16.078432,5460.0,17.37,545.0,556.5,1.5625,3.90625,-7.8125,-4.6875,9.0,9.215332,37.0,30.980392,25.490196,1.0239258,0.415,0.415,6.666667,1481.0,37.5,43.612137
1604856710642,1604856836486,9.25854712657752,48.76125459135148,308.36392,15.686275,16.078432,5850.0,20.46,545.0,556.5,2.34375,3.90625,-7.8125,-4.6875,9.0,8.837128,37.0,44.705883,32.54902,0.9819031,0.41,0.41,7.0588236,1368.0,25.5,43.914
1604856710642,1604856837485,9.258421211089981,48.76127791783621,277.49255,16.470589,15.686275,5460.0,16.73,545.4,557.1,1.5625,3.125,-7.8125,-4.6875,9.0,8.617401,37.0,38.431374,29.411764,0.957489,0.415,0.415,7.4509807,1476.0,29.0,33.38572
1604856710642,1604856838485,9.258310504763106,48.76125849479508,237.9893,14.117647,15.686275,4280.0,10.15,545.4,557.1,1.5625,3.90625,-7.03125,-3.90625,9.0,8.968964,37.0,27.450981,16.862745,0.9965515,0.415,0.41,4.7058825,1369.0,34.0,42.418568
1604856710642,1604856839485,9.258161981738537,48.76118750136882,241.26952,15.294118,15.686275,4820.0,10.15,545.4,557.1,1.5625,2.34375,-7.03125,-4.6875,9.0,9.065918,38.0,27.450981,22.352942,1.0073242,0.415,0.415,6.27451,1369.0,34.0,44.24996
1604856710642,1604856840486,9.258005871783665,48.7611247345756,241.81435,15.294118,14.509804,4850.0,14.6,526.9,542.5,0.0,2.34375,-7.03125,-4.6875,9.0,8.617401,38.0,22.352942,20.0,0.957489,0.415,0.415,6.27451,1443.0,32.0,44.65855
1604856710642,1604856841485,9.257850846299396,48.76106468034886,242.30411,15.294118,16.470589,5190.0,14.6,526.9,542.5,-0.78125,1.5625,-7.8125,-4.6875,9.0,8.995331,38.0,30.980392,20.0,0.9994812,0.41,0.41,6.27451,1443.0,39.5,45.128235
1604856710642,1604856842486,9.257691487191831,48.76100651884398,242.67474,14.901961,13.725491,3320.0,10.71,519.7,534.2,0.0,1.5625,-7.8125,-4.6875,9.0,8.977753,38.0,28.62745,23.921568,0.9975281,0.41,0.41,5.882353,1421.0,43.0,45.555565
1604856710642,1604856843485,9.257531994944625,48.76094675674744,242.6214,14.901961,14.901961,3320.0,10.71,519.7,534.2,3.90625,1.5625,-7.8125,-4.6875,9.0,8.977753,38.0,21.176472,23.921568,0.9975281,0.41,0.405,5.882353,1511.0,34.0,45.64346
1604856710642,1604856844486,9.257381583323534,48.7608881673482,236.98961,12.941176,14.117647,4120.0,8.54,507.40002,523.5,-2.34375,2.34375,-7.03125,-3.125,9.0,9.241699,38.0,16.862745,19.215687,1.0268555,0.41,0.41,3.137255,1390.0,41.5,45.230457
1604856710642,1604856845485,9.257239740963914,48.76081924464083,234.24841,12.54902,13.333334,3920.0,7.01,507.40002,523.5,-1.5625,-0.78125,-6.25,-3.90625,9.0,9.109863,38.0,12.156863,16.862745,1.012207,0.41,0.415,2.745098,1363.0,17.5,43.84234
1604856710642,1604856846486,9.25710664925767,48.76075221975349,234.8257,12.54902,12.941176,4050.0,6.59,498.7,513.4,-4.6875,-1.5625,-5.46875,-3.125,9.0,8.837128,39.0,12.54902,13.333333,0.9819031,0.41,0.415,2.745098,1280.0,23.0,40.95697
1604856710642,1604856847485,9.256978965807217,48.76068867274909,236.73488,12.54902,12.941176,4160.0,6.59,498.7,513.4,-5.46875,-2.34375,-5.46875,-3.125,9.0,9.127441,39.0,12.941176,13.333333,1.0141602,0.41,0.41,2.745098,1280.0,26.5,39.76342
1604856710642,1604856848485,9.25686448583523,48.76063332889336,238.35341,12.941176,13.333334,4160.0,7.37,480.59998,494.2,-5.46875,-2.34375,-5.46875,-3.125,9.0,9.04834,39.0,14.509804,17.254902,1.0053711,0.41,0.41,3.137255,1112.0,12.5,34.68522
